Time,Game
2023-02-08 19:00:00,Warriors VS Trail Blazers
2023-02-10 19:00:00,Mavericks VS Kings
2023-02-11 17:30:00,Lakers VS Warriors
2023-02-11 19:00:00,Mavericks VS Kings
2023-02-13 19:00:00,Wizards VS Warriors
2023-02-14 18:00:00,Kings VS Suns
2023-02-14 19:00:00,Warriors VS Clippers
2023-02-23 19:00:00,Warriors VS Lakers
2023-02-23 19:00:00,Trail Blazers VS Kings
2023-02-24 19:00:00,Rockets VS Warriors
2023-02-24 19:30:00,Kings VS Clippers
2023-02-26 16:00:00,Kings VS Thunder
2023-02-26 16:30:00,Timberwolves VS Warriors
2023-02-28 17:00:00,Kings VS Thunder
2023-02-28 19:00:00,Trail Blazers VS Warriors
2023-03-02 19:00:00,Clippers VS Warriors
2023-03-03 19:00:00,Pelicans VS Warriors
2023-03-03 19:00:00,Clippers VS Kings
2023-03-04 19:00:00,Timberwolves VS Kings
2023-03-05 12:30:00,Warriors VS Lakers
2023-03-06 19:00:00,Pelicans VS Kings
2023-03-07 17:00:00,Warriors VS Thunder
2023-03-09 19:00:00,Warriors VS Grizzlies
2023-03-09 19:00:00,Knicks VS Kings
2023-03-11 17:30:00,Bucks VS Warriors
2023-03-11 19:00:00,Kings VS Suns
2023-03-13 19:00:00,Suns VS Warriors
2023-03-13 19:00:00,Bucks VS Kings
2023-03-15 17:00:00,Kings VS Bulls
2023-03-15 19:00:00,Warriors VS Clippers
2023-03-16 16:30:00,Kings VS Nets
2023-03-17 16:30:00,Warriors VS Hawks
2023-03-18 17:00:00,Kings VS Wizards
2023-03-18 17:00:00,Warriors VS Grizzlies
2023-03-20 17:00:00,Warriors VS Rockets
2023-03-20 18:00:00,Kings VS Jazz
2023-03-21 19:00:00,Celtics VS Kings
2023-03-22 16:30:00,Warriors VS Mavericks
2023-03-24 19:00:00,76ers VS Warriors
2023-03-24 19:00:00,Suns VS Kings
2023-03-25 19:00:00,Jazz VS Kings
2023-03-26 17:30:00,Timberwolves VS Warriors
2023-03-27 19:00:00,Timberwolves VS Kings
2023-03-28 19:00:00,Pelicans VS Warriors
2023-03-29 19:00:00,Kings VS Trail Blazers
2023-03-31 19:00:00,Spurs VS Warriors
2023-03-31 19:00:00,Kings VS Trail Blazers
2023-04-02 15:00:00,Spurs VS Kings
2023-04-02 17:30:00,Warriors VS Nuggets
2023-04-04 17:00:00,Kings VS Pelicans
2023-04-04 19:00:00,Thunder VS Warriors
2023-04-05 17:30:00,Kings VS Mavericks
2023-04-07 19:00:00,Warriors VS Kings
2023-04-09 12:30:00,Kings VS Nuggets
2023-04-09 12:30:00,Warriors VS Trail Blazers
